id,node_name_long,node_name,node_folder_id,lat,lng,height_above_ground,height_above_sea,deployed,datetime,PM_ug/m3,PM_ug/m3_QC_level,co_ppm,co_ppm_QC_level,co2_ppm,co2_ppm_QC_level,groups
209,Wilshire Crest Elementary School,USC4/Wilshire,1011,34.058,-118.343,5.000000,,2021-08-12,2022-09-06 00:00:00,-999,1,-999,1,-999,1,['USC']
210,Young Oak Kim Academy,USC5/YOKA,1010,34.063,-118.290,18.300000,,2021-09-30,2022-09-04 02:00:00,-999,1,-999,1,-999,1,['USC']
211,Tenth Street Elementary School,USC6/10thStreet,1009,34.047,-118.273,10.000000,,2021-06-17,2022-09-06 00:00:00,-999,1,-999,1,-999,1,['USC']
212,Lincoln High School,USC7/Lincoln,1008,34.075,-118.203,13.700000,,2021-06-29,2022-08-14 05:00:00,-999,1,-999,1,-999,1,['USC']
213,Dorsey High School,USC8/Dorsey,1007,34.023,-118.348,12.200000,,2021-07-19,2022-09-06 00:00:00,-999,1,-999,1,-999,1,['USC']
215,Foshay Learning Center,USC10/Foshay,1005,34.019,-118.306,16.800000,,2021-07-12,2022-09-06 00:00:00,-999,1,-999,1,-999,1,['USC']
216,Ninth Street Elementary School,USC11/9thStreet,1004,34.036,-118.247,7.600000,,2021-07-09,2022-06-29 11:00:00,-999,1,-999,1,-999,1,['USC']
217,Murchison Street Elementary School,USC12/Murchison,1020,34.060,-118.196,9.000000,,2021-08-13,2022-09-03 20:00:00,-999,1,-999,1,-999,1,['USC']
218,New Zealand 1,NZ1,1089,-36.856,174.762,,,2021-05-01,2022-06-02 08:00:00,-999,1,-999,1,-999,1,['NZ']
219,New Zealand 2,NZ2,1090,-36.862,174.824,,,2022-03-10,2022-06-02 08:00:00,-999,1,-999,1,-999,1,['NZ']
220,Third Street Elementary School,USC9/3rdstreet,1084,34.070,-118.335,5.800000,,2021-10-13,2022-09-06 00:00:00,-999,1,-999,1,-999,1,['USC']
227,Leicester 3,Leicester 3,1054,-122.256,37.873,,,,2021-09-21 11:00:00,-999,1,-999,1,-999,1,['Leicester']
230,Leicester 6,Leicester 6,1057,-122.256,37.873,,,,2022-03-28 04:00:00,-999,1,-999,1,-999,1,['Leicester']
231,Leicester 7,Leicester 7,1058,-122.256,37.873,,,,2021-12-01 04:00:00,-999,1,-999,1,-999,1,['Leicester']
232,Leicester 8,Leicester 8,1059,-122.256,37.873,,,,2021-12-01 04:00:00,-999,1,-999,1,-999,1,['Leicester']
250,Bs12202,Bs12202,1129,37.873,122.256,,,,2022-11-19 13:00:00,-999,1,-999,1,-999,1,['Brown']
251,Bs102202,Bs102202,1117,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
252,Bs112202,Bs112202,1122,37.873,122.256,,,,2022-12-04 04:00:00,-999,1,-999,1,-999,1,['Brown']
253,Bs202202,Bs202202,1127,37.873,122.256,,,2022-03-01,2022-09-22 05:00:00,-999,1,-999,1,-999,1,['Brown']
254,Bs22202,Bs22202,1128,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
255,Bs122202,Bs122202,1108,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
256,Bs212202,Bs212202,1124,37.873,122.256,,,2022-03-01,2022-09-07 06:00:00,-999,1,-999,1,-999,1,['Brown']
257,Bs132202,Bs132202,1106,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
258,Bs32202,Bs32202,1125,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
259,Bs142202,Bs142202,1109,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
260,Bs222202,Bs222202,1130,37.873,122.256,,,2022-03-01,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
261,Bs42202,Bs42202,1104,37.873,122.256,,,,2022-11-10 07:00:00,-999,1,-999,1,-999,1,['Brown']
262,Bs152202,Bs152202,1102,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
263,Bs162202,Bs162202,1099,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
264,Bs52202,Bs52202,1111,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
265,Bs232202,Bs232202,1123,37.873,122.256,,,2022-03-01,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
266,Bs172202,Bs172202,1100,37.873,37.873,,,,2022-11-30 07:00:00,-999,1,-999,1,-999,1,['Brown']
267,Bs62202,Bs62202,1131,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
268,Bs242202,Bs242202,1101,37.873,122.256,,,2022-03-01,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
269,Bs182202,Bs182202,1103,37.873,122.256,,,,2022-12-01 07:00:00,-999,1,-999,1,-999,1,['Brown']
270,Bs72202,Bs72202,1120,37.873,122.256,,,,2022-12-06 01:00:00,-999,1,-999,1,-999,1,['Brown']
271,Bs252202,Bs252202,1112,37.873,122.256,,,2022-03-01,2022-10-12 07:00:00,-999,1,-999,1,-999,1,['Brown']
272,Bs192202,Bs192202,1135,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
273,Es12202,Es12202,1134,37.873,122.256,,,2022-03-01,2022-10-14 11:00:00,-999,1,-999,1,-999,1,['Canada']
274,Bs82202,Bs82202,1113,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
275,Es52002,Es52002,1115,37.873,122.256,,,,2022-06-29 11:00:00,-999,1,-999,1,-999,1,['Canada']
276,Bs92202,Bs92202,1121,37.873,122.256,,,,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Brown']
277,Es22202,Es22202,1118,37.873,122.256,,,2022-03-01,2022-03-31 10:00:00,-999,1,-999,1,-999,1,['Canada']
278,Es42002,Es42002,1098,37.873,122.256,,,,2022-08-04 11:00:00,-999,1,-999,1,-999,1,['Canada']
279,Es32202,Es32202,1097,37.873,122.256,,,,2022-08-08 12:00:00,-999,1,-999,1,-999,1,['Canada']
280,Berkeley Way West,BWW,1136,37.873,-122.268,30.000000,,2022-05-09,2022-12-05 22:00:00,-999,1,-999,1,-999,1,['Oakland']
281,Oxford Tract Greenhouse,Greenhouse,1149,37.876,-122.267,3.000000,,2022-06-08,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Oakland']
286,Paradise Park,Paradise Park,1151,37.847,-122.280,,,2022-07-13,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['Alameda', 'Oakland']"
