id,node_name_long,node_name,node_folder_id,lat,lng,height_above_ground,height_above_sea,deployed,datetime,PM_ug/m3,PM_ug/m3_QC_level,co_ppm,co_ppm_QC_level,co2_ppm,co2_ppm_QC_level,groups
71,PleasantVille Elementary School,PleasantVille Elementary,901,29.764,-95.272,4.267000,10.334733,2017-12-08,2019-11-11 16:00:00,176.40714105,1,-999,1,395.8485270041929,1a,['Houston']
72,Clinton Park Monitoring Trailer,Clinton Park Monitoring Trailer,888,29.734,-95.258,,10.150927,2017-11-30,2021-11-03 13:00:00,-999,1,-999,1,-999,1,['Houston']
73,Rucker Elementary School,Rucker Elementary,899,29.694,-95.242,2.515000,8.365664,2017-12-06,2021-06-15 18:00:00,-999,1,-999,1,-999,1,['Houston']
74,Clinton Community Center,Clinton Community Center,887,29.744,-95.262,1.168000,10.662993,2018-01-24,2021-06-15 16:00:00,6.455312718749999,1,-0.03939524256841205,1a,680.0314274380116,1a,['Houston']
75,Charlton Community Center,Charlton Community Center,886,29.688,-95.276,6.477000,9.900190,2017-01-24,2021-11-03 13:00:00,-999,1,-999,1,-999,1,['Houston']
76,JR Harris Elementary School,JR Harris Elementary,891,29.719,-95.278,1.626000,9.772196,2017-12-08,2021-10-28 08:00:00,3.1647924,1,0.15162577349299494,1a,357.20110346530873,1a,['Houston']
77,Hartman Community Center,Hartman Community Center,892,29.721,-95.262,1.626000,8.056986,2018-02-23,2022-01-21 02:00:00,-999,1,-999,1,-999,1,['Houston']
78,Lincoln Elementary School,Lincoln(Vallejo),962,38.104,-122.254,,28.501556,2018-06-13,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Vallejo']
79,Franklin Middle School,Franklin (Vallejo),968,38.099,-122.233,6.782000,18.541939,2018-06-13,2021-04-08 06:00:00,-999,1,-999,1,-999,1,['Vallejo']
80,Grace Patterson Elementary School,Grace (vallejo),967,38.080,-122.238,6.562000,31.224571,2018-06-13,2022-12-06 04:00:00,32.179575254999996,1a,-999,1,457.23294867083047,1a,['Vallejo']
81,Beverly Hills Elementary School,Beverly (vallejo),947,38.087,-122.225,3.723000,34.835358,2018-06-13,2022-09-08 08:00:00,7.635360209999999,1a,-999,1,470.34692454995445,1a,['Vallejo']
82,Glen Cove Elementary School,Glen Cove (vallejo),1032,38.075,-122.209,4.826000,48.380985,2018-06-13,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Vallejo']
83,Roosevelt Intermediate School 143,EPA1/is143,243,40.811,-73.952,,10.433788,2018-04-03,2019-07-31 19:00:00,937.5246026999998,1,-999,1,-999,1,['New York']
84,Morrisannia,EPA2/Morrisannia,110,40.836,-73.920,,19.777660,2018-04-02,2019-04-21 03:00:00,46.762001999999995,1,-999,1,-999,1,['New York']
85,Inwood Intermediate School 52,EPA6/is52,206,40.816,-73.902,,16.092026,2018-04-03,2018-07-14 15:00:00,197.990876322581,1,-999,1,-999,1,['New York']
